titulo,link,data_publicacao
Os Futuros do Petróleo subiram durante a sessão asiática,https://br.investing.com/news/commodities-news/os-futuros-do-petroleo-subiram-durante-a-sessao-asiatica-1102852,2023-04-14 03:00:04
"Colheita gaúcha de soja atinge 32% da área com atraso, diz Emater; milho alcança 80%",https://br.investing.com/news/commodities-news/colheita-gaucha-de-soja-atinge-32-da-area-com-atraso-diz-emater-milho-alcanca-80-1102837,2023-04-13 23:55:32
"Vendas de soja no Brasil recuam, mas pressão de preços para baixo impulsiona negócios, diz Datagro",https://br.investing.com/news/stock-market-news/vendas-de-soja-no-brasil-recuam-mas-pressao-de-precos-para-baixo-impulsiona-negocios-diz-datagro-1102834,2023-04-13 23:30:34
"Café robusta toca máxima de 11 anos e meio, arábica tem pico de 6 meses",https://br.investing.com/news/commodities-news/cafe-robusta-toca-maxima-de-11-anos-e-meio-arabica-tem-pico-de-6-meses-1102801,2023-04-13 21:06:03
Petróleo cai 1% após atingir máximas de vários meses com alerta de demanda da Opep,https://br.investing.com/news/economy/petroleo-cai-1-apos-atingir-maximas-de-varios-meses-com-alerta-de-demanda-da-opep-1102795,2023-04-13 20:55:51
Grãos de Chicago fecham em baixa com melhora do clima nos EUA,https://br.investing.com/news/economy/graos-de-chicago-fecham-em-baixa-com-melhora-do-clima-nos-eua-1102794,2023-04-13 20:55:42
"Previsões começam a apontar chegada do El Niño, que pode ser forte",https://br.investing.com/news/commodities-news/previsoes-comecam-a-apontar-chegada-do-el-nino-que-pode-ser-forte-1102792,2023-04-13 20:51:13
Os Futuros de Ouro subiram durante a sessão dos Estados Unidos,https://br.investing.com/news/commodities-news/os-futuros-de-ouro-subiram-durante-a-sessao-dos-estados-unidos-1102786,2023-04-13 20:45:05
Petróleo caiu 1% com a OPEP lançando dúvidas sobre sua própria narrativa otimista do petróleo,https://br.investing.com/news/commodities-news/petroleo-caiu-1-com-a-opep-lancando-duvidas-sobre-sua-propria-narrativa-otimista-do-petroleo-1102769,2023-04-13 20:25:07
"Petróleo fecha em queda, em meio a ponderações sobre dados dos EUA e relatório da Opep",https://br.investing.com/news/commodities-news/petroleo-fecha-em-queda-em-meio-a-ponderacoes-sobre-dados-dos-eua-e-relatorio-da-opep-1102760,2023-04-13 20:10:30
